"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"571","ikinarigaijin",6,0,4,0.29,0.08,1,0,0,2,0,0.665172153553947,0.807903192108101
"572","keenanlukeom",5,0,3,0.18,NA,0,0,0,1,0,0.797111599581717,0.7854611230634
"573","cloutbis755282",7,0,2,0.2,0.13,1,0,0,1,0,0.669054266152673,0.811669574743214
"574","sodiumstar",3,0,4,0.28,0.28,0,0,0,7,0,0.688876127432626,0.830900524959579
"575","aleborda21",4,0,4,0.64,0.18,1,1,0.02,46,1,0.621562894686298,0.765593972281984
"576","drdrjulia",3,0,3,0.14,0.13,0,0,0,2,0,0.652990351951048,0.796084543149644
"577","makipoyo0605",5,0,4,0.17,0.26,0,0,0,4,0,0.741353520577525,0.881813510415431
"578","sandeeppal4446",6,0,3,0.27,0.23,1,0,0,3,0,0.673656150752462,0.816134272199729
"579","gangstarr60",3,0,4,0.45,0.43,0,0,0,40,0,0.679474469434911,0.821779140526917
"580","0xezze",2,0,4,0.35,0.1,0,0,0,2,0,0.650565244130754,0.793731730409069
"581","coraltravel",4,0,2,0.03,0.06,0,0,0,1,0,0.631517477267039,0.775251798019496
"582","timothyebeling",4,0,3,0,0.16,0,0,0,3,0,0.619772195071793,0.763856655354343
"583","02holzem",3,0,3,0.23,0.05,0,0,0,3,0,0.610669310357538,0.75502513745132
"584","cguillem",3,0,3,0,0.23,0,0,0,1,0,0.645947838840915,0.789251974951014
"585","misanth420",4,0,4,0.45,0.1,0,0,0,21,0,0.67709980385728,0.819475266291346
"586","artunx3tk",4,0,4,0.19,0.16,1,0,0,2,0,0.657545674480687,0.800504066601541
"587","enoch911",3,0,2,0.5,0.18,0,0,0,7,0,0.639974313257967,0.78345652660843
"588","mgrudule",2,0,2,0.57,0.13,0,0,0,2,0,0.625918388331545,0.769819623964057
"589","chtotodrygoe",5,0,4,0,0.1,0,0,0,6,0,0.6164604678324,0.760643654275814
"590","sam-blade",2,0,2,0.5,0.11,0,1,0,1,0,0.731069123333223,0.871835702145201
"591","ccerv1",3,0,5,0.43,0.46,0,0,0.04,24,1,0.60957122153651,0.753959783842388
"592","serhii23011989",5,0,1,0.17,0.06,0,0,0,2,0,0.614425317349609,0.758669173823923
"593","xtc0r",2,0,3,0.25,0.31,0,0,0,7,0,0.615005403140224,0.759231966631469
"594","ivanpupo-byte",5,0,4,0.38,NA,0,0,0,9,0,0.768910505761086,0.7581007342658
"595","dpgraham08",4,0,4,0.2,0.06,0,0,0,2,0,0.686612046771599,0.828703938984978
"596","hel-eth-na",4,0,2,0.5,0.08,1,0,0,1,0,0.631447634161815,0.775184037012568
"597","vgfreakxbl",5,0,3,0,0.25,1,0,0,1,0,0.627140642672973,0.771005441585306
"598","yigityet",3,0,2,0.27,0.2,0,0,0,6,0,0.627941898296798,0.771782810914792
"599","darrenzal",3,0,3,0.65,0.13,0,1,0,12,0,0.726597224512602,0.86749711545158
"600","smarthealth365",6,0,4,0.25,0.1,1,0,0,5,0,0.641161646046783,0.784608463726215
"601","cult-leader-en",7,0,4,0.5,0.28,0,1,0,16,0,0.840955608886371,0.97844635304614
"602","deadshot24359",5,0,3,0,0.28,0,0,0,23,0,0.606465143440277,0.750946301284259
"603","bensparkscode",3,0,4,0.52,0.23,0,0,0,15,0,0.688030249824907,0.830079863875666
"604","pbkrishna2008",5,0,2,0,0.13,0,0,0,1,0,0.654507499403423,0.797556462800148
"605","githubhack-stack",6,0,2,0.24,0.11,0,0,0,6,0,0.667418773438667,0.81008283783097
"606","avachabay",3,0,3,0.25,0.18,0,0,0,1,0,0.726255769331504,0.867165839417707
"607","tasciyucel",4,0,3,0.1,0.18,0,0,0,2,0,0.691551506379974,0.833496147974981
"608","ubipromoter",3,0,3,0.36,0.08,0,1,0,16,0,0.675891130119645,0.818302624421443
"609","old40404",3,0,3,0.5,0.08,0,0,0,10,0,0.615890082473067,0.76009027271923
"610","qplqpl123",4,0,3,0.29,0.18,0,0,0,2,0,0.731393117738015,0.872150037927341
"611","eltonjocketh",5,0,4,0.33,0.33,1,0,0,4,0,0.693745743935775,0.835624972942653
"612","jisongniu",3,0,3,0.12,0.11,0,0,0,1,0,0.678075667244166,0.820422038138153
"613","programmermuemai",5,0,0,0.35,0.07,0,0,0,2,0,0.613375730684986,0.757650876469802
"614","graz-at",2,0,2,0.3,0.11,0,0,0,1,0,0.638637593827422,0.782159656225825
"615","eip-harper",4,0,4,0.38,0,0,0,0,4,0,0.676667164622139,0.819055524498427
"616","aword81",3,0,3,0.2,0.11,1,0,0,1,0,0.617193820437257,0.761355144848564
"617","el-wil",2,0,1,0.5,0.1,0,1,0,6,0,0.61461544580272,0.758853634342784
"618","it-unchained-fr",7,0,2,0.5,0.18,0,1,0.1,10,1,0.694997099571047,0.83683902431679
"619","untitled666",3,0,4,0.23,0.23,0,0,0,2,0,0.717862956187032,0.859023225085125
"620","axper777",2,0,3,0.27,0.26,0,0,0,2,0,0.656717257649275,0.79970034576936
"621","denis-skripnik",6,0,4,0.36,NA,0,1,0,16,0,0.84469221501588,0.831623309033483
"622","dlicio-us",3,0,4,0.62,0.1,0,0,0,31,0,0.640730946897899,0.784190604183489
"623","driedscallions",6,0,3,0.25,0.23,0,0,0,2,0,0.764077750896805,0.903860306919716
"624","nesterrr56",4,0,2,0.27,0.2,0,0,0,7,0,0.660938885342842,0.803796122188153
"625","ketsudan25",4,0,4,0.17,0.08,1,0,0,2,0,0.610762434497838,0.755115485460558
"626","mecyver",2,0,3,0.56,0.31,1,1,0,2,0,0.6792843409818,0.821594680008056
"627","kapslap",2,0,3,0.18,0.28,1,1,0,2,0,0.639099334356406,0.78260763177163
"628","tyrannosauruseth",6,0,4,0.25,NA,1,0,0,1,0,0.770805970033428,0.759939692703834
"629","shamchiyev",4,0,1,0.31,0.21,0,0,0,2,0,0.679282400895544,0.821592797757864
"630","mordant-black",5,0,4,0.38,NA,0,0,0,5,0,0.785430340232927,0.774128094654598
"631","janetmo",2,0,4,0.44,0.13,0,0,0,14,0,0.62158229554886,0.765612794783908
"632","yel425",2,0,3,0.5,0.26,0,0,0,24,0,0.611736357798468,0.756060375057173
"633","hanssonmagnus",6,0,4,0.17,NA,0,0,0,2,0,0.794669030985118,0.783091370071093
"634","gcattinp",3,0,4,0.25,0.1,0,0,0,23,0,0.618264748050698,0.762394146954802
"635","medvedsib",3,0,3,0.21,0.1,1,0,0,1,0,0.607691277954218,0.752135883405894
"636","poringbom",3,0,3,0,0.23,0,0,0,2,0,0.607957069771322,0.752393751682261
"637","thekidkevin",4,0,4,0.24,0.13,0,0,0,7,0,0.695815815971178,0.837633333898008
"638","diegourrea26",5,0,4,0.24,0.13,0,0,0,9,0,0.710841784025718,0.852211361638612
"639","denshykall",5,0,0,0.1,0.11,0,0,0,1,0,0.635989376087661,0.779590384713117
"640","paulahughestu",5,0,3,0.05,0.13,1,0,0,1,0,0.648669779858412,0.791892771971036
"641","carlosdimatteo",5,0,4,0.25,0,0,0,0,1,0,0.744548842641544,0.884913576482413
"642","luukvandervoort",3,0,4,0.11,0.03,0,0,0,1,0,0.658562279678955,0.80149036570239
"643","patrick-j-govalpha",7,0,2,0.11,0.18,0.02,0,0,1,0,0.716760987193491,0.857954106975807
"644","roger-pan",3,0,2,0.29,0.1,0,0,0,3,0,0.615665032467343,0.759871931696905
"645","minimalgravitas-eth",9,0,3,0.5,0.15,1,0,0,1,0,0.740715232199224,0.881194250102112
"646","littlelighty",3,0,3,0,0.15,0,0,0,1,0,0.6316920850301,0.775421200536818
"647","ismailonur",4,0,2,0.25,0.26,0,0,0,10,0,0.655786016246282,0.798796865676979
"648","daninvest85",3,0,1,0.17,0.13,0,0,0,1,0,0.63675765024513,0.780335755789331
"649","davistuelizabeth",6,0,3,0.05,0.07,1,0,0,1,0,0.619576246359913,0.763666548084905
"650","codecd7",2,0,4,0.13,0.28,0,0,0,10,0,0.607002547333254,0.751467684587571
"651","suiwhite",3,0,4,0.38,0.11,1,0,0,1,0,0.668869957958331,0.81149076097493
"652","pierrexp",2,0,4,0.1,0.15,0,0,0,3,0,0.613695844917265,0.757961447751558
"653","dankrue80",3,0,2,0.21,0.25,0,0,0,7,0,0.618866174790131,0.762977644514464
"654","charizard009",4,0,2,0.19,0.08,0,0,0,3,0,0.621770483915715,0.765795373052577
"655","lautwein",3,0,4,0.25,0.31,0,0,0,12,0,0.673661971011231,0.816139918950307
"656","defi-cartography",6,0,4,0.59,0.05,0,0,0,4,0,0.726182046053768,0.867094313910394
"657","sugnalolz",4,0,3,0,0.08,0,0,0,1,0,0.630539673793897,0.774303143922496
"658","lyagushe4ka",4,0,4,0.18,0.23,0,0,0,1,0,0.782644376368973,0.921873441261559
"659","notbadjattz",4,0,4,0,0.36,0,0,0,9,0,0.631073197514362,0.774820762725423
"660","forcrypto2100",5,0,3,0.28,0.1,1,0,0,1,0,0.677435438779608,0.819800895574642
"661","raselper10",3,0,3,0.38,0.34,1,0,0,5,0,0.606940464573055,0.751407452581412
"662","4e-69-63-6b-20-42-6f-73",16,0,2,0.14,0.05,0,0,0,1,0,0.694188083602197,0.836054125986534
"663","xtralicu",3,0,4,0.22,NA,0,0,0,1,0,0.775991820596344,0.764970947468279
"664","danksharting",4,0,2,0.2,0.18,1,0,0,1,0,0.645090320715659,0.788420020365947
"665","reaktiv7878",5,0,0,0.27,0.11,0,0,0,1,0,0.673392299021614,0.815878286173555
"666","prokhorz",3,0,2,0.22,0.21,0,0,0,2,0,0.657906530524347,0.800854165137338
"667","redddxraven17",6,0,2,0.21,0.13,1,0,0,1,0,0.666796005750416,0.809478635519191
"668","erhanyildirim",4,0,0,0.67,0.15,0,0,0,5,0,0.620001125250029,0.764078760877053
"669","cheliooosss",4,0,2,0.25,0.13,1,0,0,1,0,0.641962901670608,0.785385833055701
"670","brieflybaby5815",7,0,3,0,0.1,0.02,0,0,2,0,0.619797416193124,0.763881124606845
"671","stone202021",4,0,4,0.23,0.11,1,0,0,3,0,0.63368649370151,0.777356153734667
"672","scottrepreneur",4,0,4,0.73,0.34,0,0,0.06,17,1,0.645796512112929,0.789105159436003
"673","op3peat",3,0,3,0.36,0.08,0,0,0,1,0,0.694482976713145,0.836340228015788
"674","ibrahimkecici",4,0,2,0.4,0.05,0,0,0,8,0,0.609996100426625,0.754371996634537
"675","wpbakanov",3,0,2,0.18,0.21,0,0,0,5,0,0.618130882099018,0.762264271691522
"676","mnrrxyz",2,0,5,0.63,0.11,0,0,0,10,0,0.638990689526056,0.782502225760853
"677","milkteawu",3,0,3,0.44,0.2,0,0,0,10,0,0.66177506251928,0.804607372021104
"678","kosuke-ito-1101",8,0,3,0.22,0.23,0,0,0,1,0,0.80454601011561,0.943122163684241
"679","alextitonis",4,0,2,0.25,NA,0,1,0,6,0,0.765653100936868,0.75494043619266
"680","nshirmo443",4,0,3,0.29,0.13,1,0,0,2,0,0.639941331791612,0.783424528355158
"681","0xyvz",2,0,4,0.35,0.13,0,0,0,9,0,0.624057845611816,0.768014546029487
"682","spiritofsun",4,0,4,0.37,0.1,0,0,0,8,0,0.68955903779482,0.831563077027325
"683","xxxsoerxxx",4,0,2,0,0.13,0,0,0,1,0,0.633395480763075,0.777073816205798
"684","atillaarslan73",5,0,4,0.33,0.34,0,0,0.08,12,1,0.65670949730425,0.79969281676859
"685","marionedwards",4,0,4,0,0.2,1,0,0,1,0,0.626950514219862,0.770820981066445
"686","eurosport-ua",5,0,3,0.01,0.13,1,0,0,1,0,0.646496883251429,0.789784651755481
"687","sammy4on6",3,0,4,0.6,0.1,0,0,0,5,0,0.676368391338679,0.818765657968789
"688","nghiepmmo8888",6,0,2,0.15,0.2,1,0,0,1,0,0.669420942455102,0.812025320029589
"689","jh901011",3,0,4,0.26,0.08,0,0,0,5,0,0.640414712838133,0.783883797402118
"690","peibo0318",4,0,4,0.12,0.25,0,0,0,1,0,0.770730306669435,0.910314542829662
"691","0xmodene",3,0,4,0.48,0.31,0,0,0,6,0,0.711410229298795,0.852762860945003
"692","jasonnhunter4",4,0,1,0.21,0.2,1,0,0,1,0,0.62092266622174,0.764972829718472
"693","randomdecryptor",5,0,3,0.36,0.07,0,0,0,5,0,0.677214268946397,0.819586319052701
"694","chenchao2408",3,0,4,0.2,0.18,1,0,0,2,0,0.626382068946785,0.770269481760054
"695","pwnsta",2,0,4,0.33,0.13,0,0,0,1,0,0.706773423146393,0.848264282985023
"696","jiljiljil-s",5,0,2,0.14,0.15,1,0,0,2,0,0.608149138310689,0.752580094451315
"697","jakeuhm",2,0,2,0.14,0.11,0,0,0,1,0,0.608711763324997,0.753125947007128
"698","brianlinzy",3,0,4,0.2,0.13,0,0,0,4,0,0.66780873077617,0.810461170119655
"699","lordofhazar",4,0,2,0.15,0.16,1,0,0,1,0,0.631664923822513,0.775394849034123
"700","kimaani1896",3,0,4,0.22,0.16,1,0,0,3,0,0.612308683244057,0.756615638863949
"701","saabmandra",3,0,3,0.27,0.2,0,0,0,108,0,0.62140186752703,0.76543774551601
"702","arghyabs",3,0,4,0.64,0.23,0,0,0,3,0,0.732537768629193,0.873260565540893
"703","osobole7",3,0,4,0.22,0.18,1,0,0,1,0,0.668906819597199,0.811526523728587
"704","longmountain1105",6,0,2,0.14,0.13,1,0,0,1,0,0.651308297166892,0.794452632232782
"705","didierkrux",4,0,5,0.61,0.18,0,1,0.12,33,4,0.676273327112123,0.818673427709358
"706","benwhately",4,0,0,0.54,0.11,0,1,0,5,0,0.681637665610613,0.82387784949151
"707","altugozturk",4,0,2,0.12,0.13,0,0,0,6,0,0.618718728234657,0.762834593499837
"708","viktoriakotyk",5,0,2,0.25,0.23,1,0,0,5,0,0.613926715181757,0.758185435524461
"709","meh76",2,0,3,0.3,0.23,0,0,0,9,0,0.611585031070481,0.755913559542161
"710","majidmouloodi",5,0,4,0.23,0.2,1,0,0,4,0,0.669279316158396,0.811887915765539
"711","nagatomotaichi",6,0,2,0.11,0.08,0,0,0,8,0,0.606191591278148,0.750680904007122
"712","ilanpobox69",5,0,4,0,0.18,1,0,0,1,0,0.645356112532763,0.788677888642314
"713","daywalkermsy",3,0,4,0.4,0.26,0,0,0,1,0,0.779210423695437,0.918541858420905
"714","tropical-wilson",6,0,4,0.58,0.15,0,0,0.04,26,1,0.650326613521237,0.793500213635397
"715","nloureiro",3,0,2,0.14,0.08,0,0,0,1,0,0.627943838383055,0.771784693164985
"716","valeraeils",4,0,4,0,0.16,0,0,0,1,0,0.699498099685512,0.841205844763298
"717","vivalldi25",4,0,3,0.1,0.11,0,1,0,33,0,0.680904313005756,0.82316635891876
"718","abdykadyr97",5,0,3,0.27,0.23,0,0,0.17,6,1,0.629216534967145,0.773019449291239
"719","metamaker0",2,0,2,0.74,0.1,0,0,0,2,0,0.607957069771322,0.752393751682261
"720","nikolayh",1,1,4,0.29,0.36,0,0,0,1,0,0.624630171057405,0.768569809836263
"721","cocoraeth",3,0,4,0.3,0.08,1,0,0,1,0,0.635834169187162,0.77943980469772
"722","ustas-eth",3,0,3,0.27,0.18,0,0,0,1,0,0.729695542263809,0.870503069008939
"723","arman18rx",3,0,4,0.19,0.11,1,0,0,1,0,0.640862872763323,0.784318597196577
"724","hememix",2,0,4,0.42,0.1,1,0,0,1,0,0.615199411765847,0.759420191650715
"725","kurtniegilso",5,0,3,0.22,0.18,1,0,0,1,0,0.700827058771033,0.842495186145133
"726","shamburgularara",5,0,3,0.45,0.2,0,1,0,8,0,0.80319571008127,0.941812117550289
"727","borand88",3,0,3,0.36,0.1,0,0,0,8,0,0.625256818918169,0.769177776648428
"728","ilkeci",2,0,4,0.5,0.11,0,0,0,15,0,0.615106287625548,0.759329843641476
"729","siddhesh1786",4,0,3,0.18,0.23,0,0,0,10,0,0.669236634260759,0.811846506261305
"730","burakyenidunya",7,0,4,0.11,0.33,1,0,0,44,0,0.621471710632255,0.765505506522938
"731","dimozinvest",3,0,4,0.06,0.05,0,0,0,1,0,0.651145329921368,0.794294523216615
"732","vitagalkanowa",4,0,3,0.06,0.18,1,0,0,1,0,0.642017224085783,0.78543853606109
"733","lessthen-eth",4,0,3,0.12,0.2,0,0,0,48,0,0.630384466893398,0.7741525639071
"734","lotus9536",4,0,3,0.22,0.08,1,0,0,1,0,0.633884382499646,0.777548143254298
"735","apeminatory",3,0,4,0.21,0.11,0,0,0,4,0,0.662809128493853,0.805610611373685
"736","octogene",3,0,4,0.29,0.1,0,0,0,7,0,0.646859679381345,0.790136632541471
"737","shivam182thor",4,0,2,0.37,0.11,0,0,0,30,0,0.622779328768957,0.766774143152656
"738","shiba-nova",3,0,3,0.3,0.18,1,0,0,1,0,0.655223391231974,0.798251013121166
"739","aircraft25",4,0,4,0.27,0.2,0,0,0,12,0,0.705361040351854,0.846894004844912
"740","extazytorun",5,0,2,0.12,0.07,0,0,0,1,0,0.674482627497619,0.816936110781717
"741","dtpsptms15",4,0,4,0.05,0.15,1,0,0,3,0,0.60617025032933,0.750660199255005
"742","duylevan109",5,0,4,0,0.13,0,0,0,21,0,0.610987484503561,0.755333826482884
"743","abrar437",3,0,3,0.45,0.1,0,0,0,22,0,0.612803405239397,0.757095612663026
"744","cursedmining",4,0,3,0.59,0.15,0,1,0,13,0,0.766714328119028,0.90641828493127
"745","xiaoxiaomuyuziguiti",8,0,4,0.5,0.13,0,0,0.71,7,5,0.608081235291721,0.752514215694579
"746","liu682807xu",5,0,4,0.24,0.16,1,0,0,1,0,0.726552602528708,0.867453823697154
"747","sps2255",2,0,4,0.26,0.21,0,0,0,33,0,0.610298753882598,0.75466562766456
"748","qinghua12345",3,0,4,0,0.2,0,0,0,2,0,0.630277762149305,0.774049040146514
"749","edison19931402",5,0,2,0,0.1,0,0,0,1,0,0.634297620872224,0.777949062545292
"750","linkyui996",4,0,3,0.21,0.11,1,0,0,2,0,0.619306574370296,0.763404915308153
"751","kitonnum237",3,0,4,0.14,0.2,1,0,0,1,0,0.654445416643224,0.79749623079399
"752","ivantokarev9458",6,0,4,0.32,0.25,0,0,0.13,31,4,0.610345315952747,0.754710801669179
"753","kiiroihige",5,0,3,0.2,0.18,1,0,0,9,0,0.611585031070481,0.755913559542161
"754","leduynguyen",3,0,4,0.18,0.13,0,0,0,8,0,0.643720619818757,0.78709115173007
"755","angryolk",3,0,4,0.4,0.13,0,0,0,16,0,0.660861281892593,0.803720832180455
"756","amirehsanqaderi",6,0,3,0.12,0.18,1,0,0,1,0,0.689231163217517,0.831244976744799
"757","mrsbadgerface",5,0,3,0.5,0.15,0,0,0,14,0,0.7059353058837,0.84745115090188
"758","etemozdemirci",5,0,0,0.42,0.11,0,0,0,3,0,0.635157079083736,0.778782899380551
"759","voogarix",3,0,4,0.51,0.21,0,0,0.12,8,1,0.609691506884396,0.75407648335432
"760","jeng515",2,0,2,0.54,0.15,0,0,0,1,0,0.668532382949746,0.811163249441442
"761","taku17835",4,0,3,0.64,0.1,0,0,0,23,0,0.655370837787448,0.798394064135793
"762","imperturbable54",6,0,3,0.36,0.23,0,0,0,7,0,0.737504389445155,0.878079126033591
"763","gihyunlee",3,0,4,0,0.08,0,0,0,1,0,0.619731453260412,0.763817128100301
"764","antoncoding",3,0,3,0.33,0.08,0,1,0,33,0,0.66381021300207,0.806581852472994
"765","solsticesolutions",5,0,4,0.36,0.31,0,0,0.17,6,1,0.671145679136894,0.813698640450686
"766","kyungchulkim",5,0,3,0.14,0.15,0,0,0,1,0,0.754798318333233,0.89485750424918
"767","yonger1516",3,0,4,0.18,0.41,0,0,0,4,0,0.689826769698181,0.831822827553884
"768","amh22",2,0,4,0.61,0.1,0,0,0,11,0,0.612163176774839,0.756474470099515
"769","jonboymeyers",5,0,3,0.15,0.07,0,0,0,5,0,0.643287980583617,0.786671409937152
"770","ramitphi",3,0,4,0.2,0.11,0,0,0,26,0,0.619225090747535,0.763325860800069
"771","postmalone69",4,0,4,0.26,0.21,1,0,0,5,0,0.649882333768559,0.793069178341324
"772","rgvh",2,0,4,0.58,0.11,0,0,0,1,0,0.712807091403284,0.854118081083574
"773","nguyenthanhluan192",5,0,0,0.25,0.1,0,0,0,1,0,0.657596116723349,0.800553005106545
"774","cinsolidarity",4,0,3,0.42,0.23,0,0,0,6,0,0.714452284548571,0.85571422924678
"775","shameerkadalayi1898",8,0,2,0.31,0.18,1,0,0,4,0,0.640666924051443,0.784128489927138
"776","getstartbro",4,0,3,0.08,0.23,1,0,0,2,0,0.615630110914731,0.759838051193441
"777","choraltarnq0",5,0,3,0.17,NA,0,0,0,1,0,0.800770602260977,0.78901104692638
"778","kyrylokilin",4,0,1,0.46,0.1,0,0,0,2,0,0.653275544630714,0.796361233927936
"779","vayer123",2,0,4,0.05,0.08,0,0,0,1,0,0.618045518303744,0.762181452683053
"780","yueyueyue111",4,0,4,0.27,0.05,1,0,0,1,0,0.656187614101323,0.799186491466819
"781","neroaoyama",3,0,3,0.03,0.1,0,0,0,1,0,0.64685191903632,0.790129103540701
"782","jhgrove3",3,0,3,0.53,0.33,0,0,0,6,0,0.687906084304508,0.829959399863349
"783","ah2ne3noi",5,0,1,0.43,0.11,0,0,0,3,0,0.669888503242854,0.812478942325972
"784","slimanthony",4,0,3,0.25,0.11,0,0,0,3,0,0.689483374430827,0.831489669269819
"785","donkey4pie",3,0,3,0.34,0.1,0,0,0,2,0,0.6680202001781,0.810666335390633
"786","pc626288",4,0,2,0.18,0.1,1,0,0,1,0,0.60762337493525,0.752070004649158
"787","ipress-sh",4,0,3,0.21,NA,0,0,0,1,0,0.790086547247891,0.778645495116502
"788","yo-ji5118",4,0,4,0,0.15,1,0,0,1,0,0.616815503617291,0.760988106061034
"789","tzjwinfcha",5,0,3,0.14,0.1,0,0,0,1,0,0.729132917249501,0.869957216453125
"790","mo31985",2,0,3,0.17,0.21,0,0,0,1,0,0.670090272213503,0.812674696345988
"791","azures0crates",6,0,2,0.22,NA,0,0,0,1,0,0.793563181819064,0.78201848746139
"792","fighter36159",5,0,4,0.26,0.13,0,0,0,37,0,0.694118240496972,0.835986364979606
"793","nbsymn",3,0,4,0.31,0.2,1,0,0,5,0,0.616607914387874,0.760786705290441
"794","felipecnc900",5,0,2,0.12,0.13,0,0,0,1,0,0.71420007333526,0.85546953672176
"795","facucasella",4,0,5,0.38,0.28,1,0,0,5,0,0.68046973368436,0.822744734875649
"796","matthewthefaker",4,0,3,0.22,0.1,0,0,0,5,0,0.656329240398028,0.799323895730868
"797","cryptogoliath1",4,0,4,0.2,0.08,1,0,0,2,0,0.617801067435458,0.761944289158804
"798","inuy4sh4",4,0,4,0,0.1,0,0,0,1,0,0.669717775652306,0.812313304309035
"799","smojtabahosseini",5,0,4,0.1,0.1,0,0,0,12,0,0.653269724371946,0.796355587177359
"800","loveourplanetdev",8,0,1,0.32,0.08,1,0,0,1,0,0.628227090976465,0.772059501693084
"801","vcealicu",3,0,3,0.44,NA,0,0,0,1,0,0.779883633626351,0.768746741354354
"802","theseusvasterion",6,0,4,0.25,NA,1,0,0,1,0,0.776971564155742,0.765921483815472
"803","basedcaveman",3,0,4,0.18,0.15,1,1,0,6,0,0.655737514089876,0.798749809422168
"804","didrov",2,0,2,0.26,0.16,0,0,0,1,0,0.650933860519439,0.794089357945637
"805","leemaynikoletos",6,0,2,0.25,0.15,0,0,0,4,0,0.695474360790081,0.837302057864135
"806","manish8227",2,0,4,0.32,0.1,0,0,0,6,0,0.610411278885459,0.754774798175723
"807","arvex28",3,0,4,0.56,0.1,0,0,0,39,0,0.637361017070819,0.780921135599186
"808","dkdereketh",3,0,4,0.33,0.23,0,0,0,14,0,0.677125024978611,0.819499735543848
"809","brenpalav",3,0,2,0.42,0.16,0,0,0,4,0,0.649092718662272,0.792303102512992
"810","tonpochta",4,0,2,0.1,0.21,0,0,0,5,0,0.635547036421239,0.779161231669236
"811","omarelnaggar",4,0,3,0.53,0.28,0,0,0,1,0,0.797629602612132,0.936411941748121
"812","r0manchak",3,0,0,0.18,0.2,0,0,0,1,0,0.620905205445434,0.76495588946674
"813","zack45i",2,0,3,0.11,0.15,0,0,0,1,0,0.643336482740023,0.786718466191963
"814","swordboard",3,0,4,0.33,0.28,0,0,0,5,0,0.705444464060872,0.846974941603188
"815","smurphy2223",3,0,4,0.38,NA,0,0,0,1,0,0.802454597131388,0.790644840093435
"816","verbevent",3,0,3,0.29,0,0,0,0,1,0,0.66562419365165,0.808341756402945
"817","robmcelhinney",3,0,3,0.44,0.07,0,0,0,6,0,0.619064063588267,0.763169634034095
"818","0xnshuman",2,0,4,0.58,0.1,0,0,0,3,0,0.64716621300983,0.790434028071879
"819","kitesurfdw",5,0,4,0.18,0.1,1,0,0,2,0,0.647276797926436,0.79054131633285
"820","afanasiybazin",6,0,2,0.29,0.18,1,0,0,6,0,0.618092080373893,0.762226626687673
"821","0x-y4c0",3,0,4,0.17,0.1,0,0,0,4,0,0.64056021930735,0.784024966166553
"822","gunjanraj101",4,0,3,0.34,0.21,1,0,0,5,0,0.63388244241339,0.777546261004105
"823","narcolepticchicken",7,0,3,0.17,NA,0,0,0,1,0,0.818109153132948,0.805832716896395
"824","youvovk",2,0,3,0.26,0.29,0,0,0,2,0,0.65743120939157,0.800393013840186
"825","magentaceiba",4,0,2,0.46,0.39,0,1,0.02,84,2,0.626512054725953,0.770395592522949
"826","vgbknoxville",6,0,3,0.35,0.11,1,0,0,8,0,0.627251227589579,0.771112729846277
"827","cotabe",2,0,3,0.69,0.18,1,1,0,10,0,0.620920726135484,0.764970947468279
"828","codenamejason",4,0,4,0.41,0.18,0,1,0.31,32,10,0.638713257191415,0.782233063983331
"829","danielesalatti",5,0,4,0.59,0.13,0,1,0.17,24,4,0.67333797660644,0.815825583168166
"830","rohitkumaranant",5,0,3,0.43,0.18,0,0,0,18,0,0.705712195964233,0.847234692129747
"831","bartcrpt",3,0,3,0.32,0.34,0,0,0,7,0,0.669770157981224,0.812364125064232
"832","pglavin2",3,0,4,0.57,0.52,0,1,0.04,113,5,0.634351943287399,0.778001765550681
"833","isidorosp",3,0,4,0.25,0.1,0,1,0,11,0,0.708176105509651,0.849625149874172
"834","jspotanski",4,0,3,0.18,NA,0,0,0,1,0,0.78451655960624,0.773241554813949
"835","ohyeahgogo",4,0,3,0,0.08,0,0,0,1,0,0.630539673793897,0.774303143922496
"836","rannys766",4,0,4,0.27,0.15,1,0,0,2,0,0.669399601506283,0.812004615277472
"837","barristo1",3,0,4,0.27,0.08,1,0,0,1,0,0.63173864710025,0.775466374541437
"838","kalenvals",3,0,4,0.22,0.1,1,0,0,1,0,0.635812828238344,0.779419099945603
"839","chuacookie",3,0,3,0.11,0.28,1,0,0,1,0,0.626843809475769,0.77071745730586
"840","greyreen",3,0,4,0.18,0.29,1,0,0,2,0,0.633092827307102,0.776780185175774
"841","794714665010204",8,0,2,0,0.08,0,0,0,1,0,0.639885069290181,0.783369943099577
"842","galchonok08",4,0,4,0.38,0.1,1,0,0,2,0,0.655772435642489,0.798783689925632
"843","guyjames",3,0,2,0.55,0.08,0,1,0,16,0,0.656119711082355,0.799120612710083
"844","pawiromitchel",5,0,4,0.63,0.25,0,1,0.06,16,1,0.74005754295836,0.880556167286868
"845","futurealisha",4,0,4,0.44,0.23,0,1,0.07,15,1,0.711963153881822,0.853299302249854
"846","fozler82",3,0,2,0.3,0.13,0,0,0,8,0,0.608853389621703,0.753263351271178
"847","pienone",2,0,2,0.45,0,0,0,0,1,0,0.60562896626384,0.750135051451309
"848","puncar-dev",3,0,4,0.71,0.13,0,1,0,16,0,0.748324250496177,0.888576435356941
"849","maksim-tolo",3,0,3,0.52,0.1,0,0,0,36,0,0.610378297419103,0.754742799922451
