"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"451","vinodwickrama",5,0,1,0,0.16,0,0,0,1,0,0.634350003201142,0.777999883300488
"452","humeyracengiz",6,0,0,0.11,0.11,0,0,0,1,0,0.649410892808294,0.792611791544556
"453","ushalakshmikaranth",6,0,2,0.11,0.13,1,0,0,1,0,0.642533287029941,0.785939214612285
"454","wellwhoami",4,0,3,0.6,0.08,0,0,0,1,0,0.743299427092528,0.883701407358469
"455","chaosbeagle",4,0,0,0.33,0.15,0,0,0,3,0,0.620150511891759,0.764223694141873
"456","bratuha318",4,0,3,0.28,0.2,1,0,0,4,0,0.629876164294265,0.773659414356675
"457","kennywang1",3,0,2,0.67,0.15,0,0,0,4,0,0.653199881266721,0.79628782617043
"458","amitpan39",3,0,3,0.13,0.13,0,0,0,6,0,0.614277870794136,0.758526122809296
"459","craydusk",3,0,3,0.45,0.16,0,0,0,4,0,0.680993556973543,0.823252942427613
"460","andyferrer",3,0,3,0.38,0.2,0,0,0,15,0,0.649480735913519,0.792679552551484
"461","pavelthai",3,0,2,0.29,0.13,0,0,0,3,0,0.635874910998543,0.779479331951762
"462","springmusk026",6,0,3,0.24,0.18,0,0,0.25,4,1,0.635713883839276,0.779323105185788
"463","pythonpete32",4,0,4,0.53,0.16,0,0,0.04,24,1,0.622350569706329,0.766358165860123
"464","0xdreamtime",3,0,5,0.27,0.15,1,0,0,1,0,0.682291474678964,0.824512167806369
"465","vine444",3,0,3,0.2,0.11,1,0,0,1,0,0.617193820437257,0.761355144848564
"466","sasanjavadi111",6,0,2,0.27,0.1,1,0,0,2,0,0.618937957981612,0.763047287771585
"467","yurari1859",4,0,2,0.14,0.2,1,0,0,1,0,0.635162899342505,0.778788546131129
"468","lobore2131",4,0,2,0.14,0.15,0,0,0,8,0,0.621632737791522,0.765661733288912
"469","lucianodeangelo",5,0,4,0.36,0.07,1,0,0,2,0,0.655956743836831,0.798962503693916
"470","bradymck",3,0,4,0.52,0.29,0,1,0.11,9,1,0.691367198185631,0.833317334206697
"471","vkhnychenko",4,0,2,0,0.28,0,0,0,2,0,0.618610083404308,0.762729187489059
"472","svetasobaka",4,0,3,0.12,0.15,1,0,0,1,0,0.650066641962902,0.793247992109607
"473","ozma0604",4,0,3,0.18,0.18,1,0,0,1,0,0.670808104128309,0.813371128917198
"474","recursivecacao",5,0,4,0.5,0.28,0,0,0,5,0,0.774951934363002,0.914410319248455
