Stamp,Logistic,Regularized
(Intercept),-1.664330410051742,-1.4314705510414205
Brightid,-0.3741073205836036,-0.19379743910886116
CommunityStakingBronze,12.778529223508146,0
CommunityStakingGold,2.7196959388236994,0
CommunityStakingSilver,NA,0
Discord,0.03931803882607026,0
Ens,0.8041996622914853,0.6606074665947742
EthGTEOneTxnProvider,0.2782184593836942,0.04769687634206121
`ethPossessionsGte#1`,1.6551106941930454,0.9628589474056397
`ethPossessionsGte#10`,14.59178611536868,0
`ethPossessionsGte#32`,-0.6280138844286555,0
Facebook,0.5141534912239195,0.31941870515846615
FacebookProfilePicture,0.5094343508420318,0.3810832650480058
FiftyOrMoreGithubFollowers,-0.781656274404601,0
FirstEthTxnProvider,0.40248817723596697,0.46984596965844994
FiveOrMoreGithubRepos,1.214027359629622,0.9443618839825452
ForkedGithubRepoProvider,0.7671423252404872,0.17564725347806273
`GitcoinContributorStatistics#numGr14ContributionsGte#1`,1.0127331003389428,0.48444797672656725
`GitcoinContributorStatistics#numGrantsContributeToGte#1`,0.19261764161717593,0
`GitcoinContributorStatistics#numGrantsContributeToGte#10`,-0.5443993687508086,0
`GitcoinContributorStatistics#numGrantsContributeToGte#100`,-1.045731843141654,0
`GitcoinContributorStatistics#numGrantsContributeToGte#25`,-1.5593915223735793,-0.5803587640743522
`GitcoinContributorStatistics#numRoundsContributedToGte#1`,-0.37958585751026996,0
`GitcoinContributorStatistics#totalContributionAmountGte#10`,0.9648299803769691,0.3160097669954885
`GitcoinContributorStatistics#totalContributionAmountGte#100`,0.12285641142904863,0
`GitcoinContributorStatistics#totalContributionAmountGte#1000`,3.4415514473502085,0.22792970962721576
`GitcoinGranteeStatistics#numGrantContributors#10`,4.069647917977537,0
`GitcoinGranteeStatistics#numGrantContributors#100`,10.010759619698968,0
`GitcoinGranteeStatistics#numGrantContributors#25`,7.422393104413417,0
`GitcoinGranteeStatistics#numGrantsInEcoAndCauseRound#1`,14.117825905698625,0
`GitcoinGranteeStatistics#numOwnedGrants#1`,14.741362906611103,0.6809553728611812
`GitcoinGranteeStatistics#totalContributionAmount#100`,12.459899118855898,0
`GitcoinGranteeStatistics#totalContributionAmount#1000`,-20.72522298028944,0
`GitcoinGranteeStatistics#totalContributionAmount#10000`,-14.91318772070977,0
Github,-0.1436948589774648,0
GitPOAP,15.619649911019799,0
GnosisSafe,-0.5925458136856959,-0.09540958642073688
Google,-0.39502648219666486,-0.20402020488054093
`gtcPossessionsGte#10`,0.10655190511981706,0.015399146477162754
`gtcPossessionsGte#100`,1.322539578643847,0.1275083565724231
Lens,1.3276390503981823,0.7038082797693661
Linkedin,1.2075663885990038,1.0038901950636685
NFT,0.28509221509457555,0.05586751605091948
POAP,1.0503470473474632,0.9291916529776543
Poh,1.0904864545462367,0.6404250423546227
SelfStakingBronze,14.415887001971221,0
SelfStakingGold,-1.7070924441783533,0
SelfStakingSilver,-14.082975105573455,0
SnapshotProposalsProvider,-0.6675805104728034,0
SnapshotVotesProvider,0.5397092650989603,0.30508844071533464
StarredGithubRepoProvider,1.918221621431802,0.6715945285598366
TenOrMoreGithubFollowers,0.0971989483454244,0
Twitter,0.6618647920438628,0.40716414138198825
TwitterFollowerGT100,0.46829165039835163,0.49624073693395765
TwitterFollowerGT500,-0.011491942470709643,0.03127447904425806
TwitterFollowerGT5000,-0.6032421886776353,0
TwitterFollowerGTE1000,0.9339259379813029,0.449366792301627
TwitterTweetGT10,0.3373350132796672,0.32620246317022517
ZkSync,-0.25918259168298763,0
